Title,Price,Date
Redmi 12 5G Jade Black 8GB RAM 256GB ROM,"13,999.00",2024-07-30
Redmi 12 5G Jade Black 8GB RAM 256GB ROM,"13,999.00",2024-07-30
Redmi 12 5G Jade Black 8GB RAM 256GB ROM,"13,999.00",2024-07-30
